day,temp,humidity,time
5,12,67,4/9/2021 19:53:52
5,12,68,4/9/2021 19:55:52
5,12,68,4/9/2021 19:57:52
5,12,68,4/9/2021 19:59:53
5,12,69,4/9/2021 20:01:53
5,12,69,4/9/2021 20:03:54
5,12,69,4/9/2021 20:05:54
5,11,68,4/9/2021 20:07:54
5,11,69,4/9/2021 20:09:55
5,11,69,4/9/2021 20:11:54
5,11,70,4/9/2021 20:13:55
5,11,70,4/9/2021 20:15:55
5,11,70,4/9/2021 20:17:56
5,11,70,4/9/2021 20:19:56
5,11,70,4/9/2021 20:21:56
5,11,71,4/9/2021 20:23:56
5,11,71,4/9/2021 20:25:56
5,11,71,4/9/2021 20:27:57
5,11,71,4/9/2021 20:29:57
5,11,72,4/9/2021 20:31:57
5,11,72,4/9/2021 20:33:58
5,11,72,4/9/2021 20:35:58
5,11,72,4/9/2021 20:37:58
5,10,71,4/9/2021 20:39:59
5,10,72,4/9/2021 20:41:59
5,10,72,4/9/2021 20:43:59
5,10,72,4/9/2021 20:45:59
5,10,72,4/9/2021 20:47:59
5,10,72,4/9/2021 20:50:00
5,10,72,4/9/2021 20:52:00
5,10,73,4/9/2021 20:54:01
5,10,73,4/9/2021 20:56:01
5,10,73,4/9/2021 20:58:01
5,10,74,4/9/2021 21:00:01
